benchmark,brand
"3,801",GeForce GTX 1050 with Max-Q Design
"3,799",Radeon HD 7970M
"3,773",GRID K2
"3,760",Quadro RTX 3000
"3,760",GeForce GTX 750 Ti
"3,718",GeForce GTX 880M
"3,706",Quadro P620
"3,613",Quadro M2200
"3,601",GeForce GTX 470
"3,591",Quadro K2200
"3,563",Radeon R9 M470X
"3,553",RX 560X
"3,537",GeForce GTX 650 Ti BOOST
"3,529",GeForce GTX 560 Ti
"3,529",Quadro 6000
"3,523",Radeon HD 6970
"3,515",Tesla C2050
"3,475",Radeon Pro 560
"3,453",Radeon Pro 460
"3,444",Radeon RX 550
"3,428",Tesla C2050 / C2070
"3,369",Radeon HD8970M
"3,367",FirePro M6100 FireGL V
"3,364",Tesla C2075
"3,348",GeForce GTX 680M
"3,330",Radeon Pro WX 3100
"3,320",GeForce GTX 750
"3,314",Radeon R7 360
"3,275",Tesla C2070
"3,242",GeForce GTX 965M
"3,217",Radeon HD 6950
"3,209",Radeon Pro WX 4150
"3,194",Quadro P600
"3,189",GRID M60-4Q
"3,174",Radeon R7 260X
"3,162",FirePro V7000 Adapter
"3,141",Radeon Pro 555
"3,118",GeForce GTX 560
"3,113",Radeon Pro 455
"3,105",Quadro K5100M
"3,101",Radeon R9 M380
"3,084",FirePro W5000
"3,082",Radeon HD 7790
"3,069",Radeon HD 8950
"3,053",Quadro M1200
"3,041",Quadro K1200
"3,032",Radeon R9 360
"3,018",Radeon R9 260
"3,012",FirePro W5100
"2,968",FirePro M6100
"2,947",GeForce GTX 465
"2,941",GRID K260Q
"2,909",FirePro W4300
"2,908",Quadro M2000M
"2,892",Radeon R7 260
"2,883",Quadro K4000
"2,866",Radeon Pro WX 4130
"2,859",Radeon HD 6990
"2,855",Quadro 5000
"2,812",FirePro 3D V9800
"2,800",Quadro M620
"2,762",FirePro V9800 Adapter
"2,756",Quadro K2200M
"2,739",FirePro V7900
"2,723",Radeon Pro 450
"2,660",GeForce GTX 650 Ti
"2,658",GeForce GTX 770M
"2,654",GeForce GTX 460
"2,640",GeForce MX250
"2,627",Quadro K5000M
"2,622",Radeon HD 5870
"2,615",Radeon HD 6870
"2,602",Radeon HD 5970
"2,600",Quadro K4100M
"2,488",GeForce GTX 460 v2
"2,456",GeForce GTX 675MX
"2,449",GeForce GTX 870M
"2,438",FirePro 3D V8800
"2,435",Radeon R9 M470
"2,401",GeForce GTX 485M
"2,385",Quadro M1000M
"2,359",GRID K280Q
"2,359",GeForce GTX 960A
"2,355",GeForce GTX 960M
"2,340",Radeon RX 540
"2,335",Quadro K620
"2,292",Radeon HD 6850
"2,282",Radeon HD 5850
"2,281",Radeon RX Vega 11
"2,279",GeForce GTX 580M
"2,270",Radeon HD 6970M
"2,269",Radeon R7 250X
"2,258",GeForce GTX 460 SE
"2,251",GeForce GT 645
"2,245",GeForce GT 1030
"2,238",Quadro K4000M
"2,236",Radeon R9 350
"2,228",Radeon Pro WX 2100
"2,222",Radeon HD 7770
"2,203",GeForce MX150
"2,196",Radeon R7 450
"2,192",GeForce GTX 745
"2,192",GeForce GTX 560 SE
"2,191",Firepro W5170M
"2,185",RadeonT R7 450
"2,154",GeForce GTX 555
"2,148",Radeon TM R9 A360
"2,148",GeForce GTX 675M
"2,146",Intel Iris Pro P580
"2,144",GRID K240Q
"2,142",GeForce MX230
"2,103",FirePro M5100
"2,087",Radeon R9 M375X
"2,077",GeForce GTX 670MX
"2,073",Quadro K3100M
"2,060",Quadro 5000M
"2,057",Radeon R7 M465X
"2,055",Radeon R9 M360
"2,054",Radeon HD 5830
"2,049",Quadro 4000
"2,046",Radeon HD 6790
"2,040",GeForce GTX 480M
"2,025",GRID M10-1B
"2,024",GeForce GTX 570M
"1,996",Embedded Radeon E9173
"1,982",Radeon R7 + R7 350 Dual
"1,978",Matrox C680 PCIe x16
"1,965",Intel Iris Plus 655
"1,962",Radeon R7 + HD 7700 Dual
"1,962",Radeon HD 6900M
"1,962",Intel Iris Plus
"1,958",Radeon HD 7660D + HD 7700 Dual
"1,954",GeForce GTX 860M
"1,950",GeForce MX130
"1,950",GeForce GTX 470M
"1,948",GeForce GTX 670M
"1,941",GeForce GTX 645
"1,937",Radeon R9 M370X
"1,932",Quadro M600M
"1,923",GeForce GTX 550 Ti
"1,911",GeForce GTX 950M
"1,904",Radeon Vega 10
"1,889",GeForce GTX 765M
"1,877",Intel Iris Pro 580
"1,836",GeForce GTX 650
"1,835",Radeon HD 8570D + HD 7700 Dual
"1,826",MxGPU
"1,812",Matrox C900 PCIe x16
"1,810",Quadro 5010M
"1,810",RadeonT RX 560X
"1,810",FirePro 3D V7800
"1,806",Radeon R9 255
"1,800",Radeon HD 8870M / R9 M270X / M370X
"1,794",Quadro 4000M
"1,789",Radeon HD 8670D + 7700 Dual
"1,780",Radeon R7 FX-9830P RADEON
"1,764",Radeon RX Vega 8
"1,756",Quadro K3000M
"1,735",Radeon Vega 8
"1,735",FirePro W600
"1,727",FirePro M6000 Mobility Pro
"1,722",Quadro K2000
"1,712",Radeon HD 5770
"1,709",Radeon HD 7750
"1,704",FirePro M4000 Mobility Pro
"1,695",Radeon RX Vega 10
"1,685",Radeon HD 6770
"1,684",GeForce GTX 950A
"1,680",Quadro P500
"1,676",Quadro K2000D
"1,674",FirePro W4100 Adapter
"1,654",DameWare Development Mirror Driver 64-bit
"1,646",Radeon Vega 8 Mobile
"1,638",Radeon HD 8870M
"1,635",GeForce GTX 850M
"1,632",Radeon Vega 10 Mobile
"1,629",FirePro W5130M
"1,619",FirePro M4000
"1,617",Ryzen 7 2700U with Radeon Vega
"1,610",Radeon 540
"1,608",GeForce MX110
"1,606",Intel Iris 550
"1,603",Radeon Vega 6
"1,601",FirePro W4100
"1,598",GeForce GT 755M
"1,593",Quadro P400
"1,592",Quadro M520
"1,577",Radeon E8860
"1,573",Intel Iris Plus 650
"1,570",GeForce GT 740
"1,556",GeForce GTS 450
"1,545",Radeon HD 8470D + HD 7500 Dual
"1,544",GeForce GTX 560M
"1,543",Radeon HD 4890
"1,542",Intel Iris Pro Graphics 6200
"1,531",FirePro V5900
"1,528",15DD
"1,524",Radeon R9 M275X / M375
"1,507",Radeon HD 7870M
"1,504",GeForce 945M
"1,503",Ryzen 5 2500U with Radeon Vega
"1,485",Radeon HD 7660D + HD 6670 Dual
"1,484",FirePro 3D V5800
"1,463","Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C"
"1,461",Quadro 3000M
"1,452",Radeon HD 5750
"1,445",GeForce GTX 660M
"1,433",GeForce GTX 760M
"1,429",Radeon HD 7730
"1,426",Radeon HD 7560D + 7670 Dual
"1,419",Radeon R7 430
"1,418",Radeon R9 M270X
"1,418",Radeon R7 M370
"1,411",Intel Iris Plus 640
"1,405",Radeon R7 250
"1,394",GeForce GTX 460M
"1,386",FirePro W4170M
"1,382",Intel HD P630
"1,382",Radeon HD 4870
"1,376",Radeon R7 PRO A12-8870
"1,373",Radeon HD 7850M
"1,368",Radeon R7 PRO A10-9700
"1,364",FirePro M40003
"1,362",GeForce 940MX
"1,361",Radeon HD 8670D + 6670 Dual
"1,347",Radeon HD 7560D + HD 7700 Dual
"1,344",Intel Iris 540
"1,341",FireStream 9270
"1,336",Radeon R7 PRO A12-9800
"1,335",Quadro K2100M
"1,320",Radeon R7 PRO A10-8770
"1,317",Quadro 2000
"1,317",Radeon HD 6750
"1,315",Intel UHD
"1,314",FirePro M5950
"1,313",Radeon HD 8790M
"1,309",Radeon HD 4870 X2
"1,306",Radeon R7 M465
"1,302",FirePro V4900
"1,301",Radeon 535
"1,298",Firepro W4190M
"1,296",GeForce GT 750M
"1,294",Radeon R9 M265X
"1,293",GeForce GT 545
"1,285",Radeon R7 + R7 200 Dual
"1,283",Quadro 2000D
"1,281",GeForce GTX 760A
"1,281",Radeon R7 A370
"1,281",GeForce GT 640
"1,273",GeForce GTX 285
"1,272",FirePro 3D V8750
"1,261",Radeon R7 M350
"1,261",Radeon HD 8570D + HD 6670 Dual
"1,249",Mobility Radeon HD 5870
"1,245",GeForce GTX 275
"1,239",Quadro 2000 D
"1,239",Radeon R9 M375
"1,239",Radeon HD 8570D + 6570 Dual
"1,238",Radeon HD 7660D + 6670 Dual
"1,237",Radeon HD 8790M / R9 M290X
"1,234",GeForce 930MX
"1,234",GeForce GT 650M
"1,230",Intel UHD P630
"1,226",Radeon R7 A12-9800 RADEON
"1,222",Radeon HD 8670D + HD 6670 Dual
"1,217",GeForce 930A
"1,211",Intel UHD 630
"1,209",Intel Iris Pro P6300
"1,206",FirePro 3D V8700
"1,206",GeForce GTX 280
"1,197",Radeon 530
"1,191",Radeon HD 7750M
"1,186",Radeon R7 A12-9800E RADEON
"1,180",GeForce GT 745A
"1,176",Intel Iris Pro 5200
"1,170",Radeon R7 A10-9700 RADEON
"1,166",FirePro 3D V4800
"1,165",FireStream 9250
"1,165",GeForce GPU
"1,161",Barco MXRT 5400
"1,160",Radeon R7 PRO A12-8870E
"1,158",Intel Coffee Lake UHD
"1,158",Radeon R7 A10-7890K
"1,148",Radeon R7 PRO A10-8770E
"1,143",Radeon R7 PRO A10-9700E
"1,143",GeForce 845M
"1,140",Radeon HD 8850M / R9 M265X
"1,136",GeForce GTX 260
"1,132",Radeon HD 4850 X2
"1,131",Radeon HD 7560D + 6670 Dual
"1,126",Radeon R7 M460
"1,124",RadeonT R5 430
"1,123",Radeon R7 A10-7870K
"1,122",Intel HD 630
"1,116",Radeon HD 7670
"1,116",Radeon R7 M260X
"1,115",Radeon R9 M275
"1,114",FirePro M4150
"1,111",Quadro FX 5800
"1,108",Radeon R7 A10-8850
"1,105",Radeon R7 A10-9700E RADEON
"1,105",Radeon Vega 3
"1,104",Radeon Vega 3 Mobile
"1,100",Radeon HD 7660D + 6570 Dual
"1,089",GeForce 920MX
"1,087",FirePro M4170
"1,087",Quadro M500M
"1,086",Radeon HD 5670
"1,081",Quadro K2000M
"1,081",MIRRORV3
"1,073",Radeon R7 A8-9600 RADEON
"1,067",Radeon R7 M445
"1,067",Radeon R7 PRO A10-9700B
"1,066",Radeon 535DX
"1,064",Radeon HD 8750M
"1,063",Intel HD P530
"1,062",Radeon HD 7660D + 7670 Dual
"1,061",Radeon HD 6670
"1,061",Radeon HD 7520G + 7700M Dual
"1,059",Firepro M4100
"1,056",Intel UHD Graphics 620
"1,055",GeForce GT 445M
"1,053",GeForce GTX 295
"1,050",Radeon HD 7670A
"1,049",Radeon R7 PRO A8-9600
"1,049",Radeon R7 Opteron X3421
"1,047",Radeon R7 340
"1,045",Radeon R7 + R7 240 Dual
"1,043",Radeon R5 340
"1,036",Quadro 2000M
"1,035",Radeon HD 4770
"1,035",Quadro K1100M
"1,033",Radeon HD 8570D + HD 8570 Dual
"1,031",Radeon R5 430
"1,031",GeForce 940A
"1,030",Radeon HD 8600/8700M
"1,029",Radeon HD7570
"1,028",Radeon R7 + R5 330 Dual
"1,028",Radeon R7 A8-7500
"1,028",Radeon HD 8730M
"1,023",Radeon HD 4850
"1,020",Radeon HD 8670D + R7 240 Dual
"1,020",Radeon R7 A10-7850K
"1,019","Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G"
"1,017",Radeon HD 6700M
"1,015",Radeon R7 PRO A12-9800E
"1,014","Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G"
"1,009",Radeon HD 7690M XT
"1,005",GeForce 830A
"1,003",Quadro FX 4800
"1,002",Radeon HD 7730M
"1,001",Radeon HD 7690M
999,Radeon HD 8570D + R7 200 Dual
999,Radeon HD 7660G + HD 7500M/7600M Dual
999,Intel HD 530
997,GeForce 940M
997,Radeon HD 7640G + HD 8750M Dual
993,Barco MXRT 5450
992,Radeon R7 A10-8750
989,Radeon R7 A10-7860K
987,Radeon R7 A265
987,Radeon HD 6800M
984,Radeon HD 8690M
983,Radeon HD 7560D + 7560D Dual
983,Radeon HD 8570
981,Radeon HD 7570
979,Intel Iris 6100
978,GeForce GT 745M
977,Radeon R7 240
973,Radeon E6760
973,Radeon HD 8850M
967,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D
965,Radeon R7 M440
964,Radeon HD 6770M
964,GeForce GT 640M
964,Radeon HD 8570D + R7 240 Dual
962,Radeon R7 A10 PRO-7850B
961,NVS 810
958,Radeon HD 5600/5700
954,Radeon R7 PRO A10-8750B
953,GeForce 930M
950,Radeon HD 8670D + R7 200 Dual
949,Radeon HD 4830
947,Quadro CX
945,Radeon R7 PRO A10-8850B
942,Radeon HD 7660D + R7 240 Dual
937,Radeon HD 6750M
931,Radeon HD 7660G + 7730M Dual
930,Radeon R7 240 + HD 8670D Dual
930,Radeon R7 A12-9720P RADEON
930,Intel HD Graphics 620
929,Radeon R7 PRO A12-8830B
926,Radeon R7 A8-7600
922,GeForce 840M
921,GeForce GT 730
919,GeForce 920A
919,Quadro K620M
918,Radeon R7 240 + HD 8570D Dual
916,Radeon HD 8650G
914,GeForce GT 635
912,GRID K220Q
911,Radeon R7 A8-8650
907,"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G"
905,Radeon R7 M365X
903,GeForce GT 645M
903,FirePro W2100
901,GeForce 830M
898,GeForce 9800 GTX+
897,Radeon R7 A10-7700K
893,GeForce GT 555M
888,Radeon R7 A10-7800
886,Radeon R7 + R5 435 Dual A10-9700 RADEON
884,Radeon HD 8650G + 7670M Dual
882,Radeon HD 7660G + HD 7730M Dual
881,GRID K1
879,GeForce 9800 GTX/9800 GTX+
878,GeForce 840A
877,"Radeon R5 PRO A6-9500E R5, 6 COMPUTE CORES 2C+4G"
876,GeForce GTS 250
874,Radeon HD 3870 X2
872,FirePro V3900
868,Radeon HD 8570D + HD 6570 Dual
867,Mobility Radeon HD 4850
866,Radeon R7 FX-8800P
865,Radeon R7 A8-7650K
862,Radeon R7 A12-9730P RADEON
859,Radeon HD 8500M/8700M
855,Radeon R7 A8-7680
855,Radeon HD 8550G + HD 7600M Dual
853,"Radeon R7 A8-7500 Radeon R7, 10 Compute Cores 4C+6"
853,Radeon R7 A8-7670K
850,Radeon 520
845,"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G"
843,GeForce GT 440
839,Quadro FX 3800
839,"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G"
839,GeForce GT 730M
839,Intel HD 520
837,Radeon HD 8670D + R5 235 Dual
835,Radeon R7 FX-9800P RADEON
834,GeForce 8800 GTS 512
833,Radeon HD 7560D + 6570 Dual
832,Radeon HD 8650G + 8600/8700M Dual
832,Radeon HD 7660G + 7600M Dual
830,Quadro K420
830,Intel HD 5200
830,Intel HD 6000
825,Radeon R7 M265
825,Quadro K600
824,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D
823,Radeon R7 PRO A8-8650B
820,Radeon HD 8650G + HD 7600M Dual
819,Radeon HD 8550G + HD 8750M Dual
819,"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G"
818,GeForce GTS 240
813,Radeon HD 8550G + HD 8600/8700M Dual
813,Radeon HD 7670M
808,GeForce 730A
807,"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C"
803,Quadro FX 3800M
803,GeForce GTX 850A
803,Radeon HD 8550G + 8600/8700M Dual
802,Radeon R8 M445DX
798,Radeon HD 7660G
798,GeForce 9800 GX2
796,Radeon HD 8550G + 8750M Dual
795,Quadro K1000M
794,Radeon HD 7650A
793,Radeon HD 3850 X2
792,Radeon R7 PRO A12-9800B
790,Radeon R7 A10 Extreme Edition
788,NVS 5400M
787,GeForce GT 740M
787,Radeon HD 8650G + 8750M Dual
787,Intel UHD 615
786,GeForce GT 640M LE
782,Radeon HD 8670D
781,"Radeon R7 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G"
780,Radeon HD 7660D
779,Intel UHD 610
779,Radeon HD 8650G + HD 8750M Dual
778,GRID K180Q
777,"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C"
775,Radeon HD 7660G + HD 7600M Dual
775,GeForce GT 340
774,Radeon R7 M270
773,Radeon HD 7600M + 7600M Dual
773,Radeon HD 8650G N HD 8650G + HD 8570M Dual
773,Mobility Radeon HD 5000
769,Radeon HD 4810
769,GeForce 9800 GTX
769,GeForce 8800 Ultra
765,Quadro K610M
765,NVS 510
764,Radeon HD 8650G + HD 8600/8700M Dual
763,Mobility Radeon HD 5850
763,GeForce 8800 GTX
762,Radeon R7 M340
760,Radeon HD 6570
759,GeForce 825M
759,Radeon R5 M255
757,Radeon R5 420
757,Radeon HD 7660G + 7700M Dual
757,GeForce GTS 360M
755,Quadro 1100M
753,Radeon HD 8570D + HD 7000 Dual
752,Quadro 1000M
752,Radeon HD 7660G + HD 7700M Dual
750,Radeon M535DX
748,GeForce 8800 GT
748,Radeon R9 M385X
748,GeForce GT 140
747,Intel Iris 5100
747,Radeon R7 A12-9700P RADEON
747,GeForce GT 630
746,Radeon HD 7660G + 7610M Dual
745,GeForce GT 530
744,Radeon R7 PRO A12-8800B
744,Radeon R5 235 + HD 7560D Dual
743,Radeon HD 7660G + 7670M Dual
743,GeForce GT 730A
742,Radeon HD 8650G + 7600M Dual
741,Radeon 6600M
738,Radeon HD 7670M + 7670M Dual
738,Intel HD 615
737,GeForce 920M
735,GeForce GTX 285M
729,GeForce 9600 GT
728,Radeon HD 7550M/7650M
728,GRID K140Q
727,Radeon R7 A8 PRO-7600B
725,GeForce 720A
724,Radeon HD 7650M
723,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D
723,Radeon HD 8650G + R5 M200 Dual
720,Mobility Radeon HD 4870
720,Radeon HD 7540D + 6570 Dual
719,GeForce GT 550M
719,Radeon HD 8550G
719,Radeon HD 6650M
719,Radeon HD 8670D + HD 7000 Dual
718,Mobility Radeon HD 5570
718,Radeon HD 3870
717,Radeon HD 8470D + 6450 Dual
717,Intel HD 610
717,Radeon R7 M360
717,GeForce GT 720
716,Radeon HD 8650G + HD 8570M Dual
714,Radeon HD 5570
713,Intel HD 4600
711,Radeon HD 7660G + HD 8670M Dual
710,GeForce GT 820M
708,GeForce 9800 GT
708,Radeon HD 6550A
707,Radeon HD 7660G + HD 7670M Dual
706,Radeon HD 7640G + 7600M Dual
705,Radeon HD 7660G N HD 7660G + HD 7670M Dual
704,Radeon HD 7640G + HD 7600M Dual
701,GRID K160Q
700,GeForce 820A
699,TRINITY DEVASTATOR MOBILE
699,Radeon HD 7570M/HD 7670M
698,Quadro 600
698,GeForce GT 635M
697,Radeon HD 7640G + HD 8570M Dual
693,"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G"
693,Radeon R7 A10 PRO-7800B
691,Radeon HD 7640G + 7700M Dual
690,GeForce GT 710
690,GeForce GT 630M
690,"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G"
689,Radeon HD 7640G + 8600/8700M Dual
686,Radeon HD 8650G + R5 M230 Dual
685,Radeon HD 8550D
685,Radeon HD 6630M
683,Radeon R6 A10-8700P
681,Quadro FX 5600
681,GRID P40-3Q
681,Radeon R7 M260
680,Radeon HD 8570D
680,Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D
680,Radeon HD 7640G N HD 7640G + HD 7670M Dual
679,GeForce GTS 160M
678,Mobility Radeon HD 5730
676,Radeon HD 8610G + R5 M200 Dual
676,GeForce GT 735M
673,Quadro 500M
671,Intel HD P4600/P4700
668,Radeon HD 8550G + R5 M230 Dual
668,GeForce GT 435M
666,Radeon HD 7640G + HD 8500M N HD 8500M Dual
665,Quadro FX 4700 X2
665,FirePro M7740
665,NVS 5200M
664,Radeon HD 8550G + 8690M Dual
663,Intel HD 5600
662,Radeon HD 7560D
661,GeForce GT 430
660,FireGL V7700
660,GeForce GT 720A
660,Radeon HD 7640G + HD 7670M Dual
660,Radeon HD 2900 XT
658,Quadro FX 2800M
655,Radeon R5 M430
655,Radeon HD 7640G + 8750M Dual
654,Radeon HD 8650G + 8570M Dual
651,Quadro K510M
651,Radeon HD 7520G + HD 8750M Dual
650,SUMO 9640
649,GeForce GT 240
649,GeForce GT 540M
649,Radeon HD 8690A
648,Radeon R5 240
647,Radeon HD 6670 + 6670 Dual
646,Intel HD 515
646,Radeon HD 8610G + HD 8500M Dual
645,GeForce 9800M GTS
645,Radeon HD 7640G + 7670M Dual
644,Radeon HD 6550D
643,Radeon R6
638,GeForce 810A
637,Radeon HD 7640G + 7400M Dual
637,Radeon HD 8450G + 8750M Dual
636,GeForce 9800 S
635,Matrox C420 LP PCIe x16
634,Radeon HD 8650G + HD 7670M Dual
634,Radeon HD 8650G + 8670M Dual
634,Radeon HD 7660D + HD 7000 Dual
634,Quadro FX 3700M
632,Radeon HD 7610M
631,Radeon HD 7660G + 7470M Dual
630,Radeon R7 M260DX
629,Quadro FX 3700
628,Radeon HD 2900 PRO
627,Radeon HD 7640G + 7500/7600 Dual
627,Radeon HD 8650G + 8500M Dual
626,GeForce GT 425M
624,Radeon HD 7520G + HD 8600/8700M Dual
621,Intel HD 510
621,Radeon HD 7640G + HD 7400M Dual
621,FirePro M2000
621,GeForce GTX 280M
620,Radeon HD 8570 + 8670D Dual
619,Radeon HD 8550G + R5 M200 Dual
619,GeForce 820M
618,Radeon HD 8550G + 8600M Dual
617,Radeon HD 7500G + 7500M/7600M Dual
616,FireGL V7600
614,Radeon HD 7640G
613,Radeon HD 8650G + 8600M Dual
